Code,LocalAuthority,LGBF Year,Month,LA_IndicatorReal,LA_Numerator_real,LA_Den_Real,Scotland_Indicator_Real,Scotland_Num_Real,Scotland_Den_Real
CORP10,Stirling,2022-23,Q4,0.43,170,395,0.86,20875,24305
CORP10,West Dunbartonshire,2018-19,Q1,0.88,465,530,0.9,14600,16180
CORP10,West Dunbartonshire,2018-19,Q2,0.68,345,505,0.89,14490,16330
CORP10,West Dunbartonshire,2018-19,Q3,0.89,510,575,0.93,17125,18495
CORP10,West Dunbartonshire,2018-19,Q4,0.92,595,650,0.86,15445,17895
CORP10,West Dunbartonshire,2019-20,Q1,0.97,505,520,0.78,15140,19330
CORP10,West Dunbartonshire,2019-20,Q2,0.89,550,615,0.9,16880,18705
CORP10,West Dunbartonshire,2019-20,Q3,0.8,500,625,0.8,15565,19425
CORP10,West Dunbartonshire,2019-20,Q4,0.86,495,580,0.81,15550,19265
CORP10,West Dunbartonshire,2020-21,Q1,0.89,620,700,0.83,14930,18060
CORP10,West Dunbartonshire,2020-21,Q2,0.96,745,780,0.86,16970,19665
CORP10,West Dunbartonshire,2020-21,Q3,0.93,865,935,0.88,18635,21175
CORP10,West Dunbartonshire,2020-21,Q4,0.89,755,845,0.81,22255,27635
CORP10,West Dunbartonshire,2021-22,Q1,0.83,535,645,0.92,19165,20870
CORP10,West Dunbartonshire,2021-22,Q2,0.67,455,670,0.84,16700,19860
CORP10,West Dunbartonshire,2021-22,Q3,0.77,410,540,0.9,20140,22375
CORP10,West Dunbartonshire,2021-22,Q4,0.76,440,580,0.77,17455,22710
CORP10,West Dunbartonshire,2022-23,Q1,0.78,420,535,0.87,19970,23065
CORP10,West Dunbartonshire,2022-23,Q2,0.76,535,705,0.87,19670,22645
CORP10,West Dunbartonshire,2022-23,Q3,0.79,520,655,0.89,20790,23425
CORP10,West Dunbartonshire,2022-23,Q4,0.78,505,645,0.86,20875,24305
CORP10,West Lothian,2018-19,Q1,0.98,540,555,0.9,14600,16180
CORP10,West Lothian,2018-19,Q2,0.73,400,550,0.89,14490,16330
CORP10,West Lothian,2018-19,Q3,0.69,480,690,0.93,17125,18495
CORP10,West Lothian,2018-19,Q4,0.64,460,720,0.86,15445,17895
CORP10,West Lothian,2019-20,Q1,0.65,470,725,0.78,15140,19330
CORP10,West Lothian,2019-20,Q2,0.54,390,720,0.9,16880,18705
CORP10,West Lothian,2019-20,Q3,0.85,625,735,0.8,15565,19425
CORP10,West Lothian,2019-20,Q4,0.77,535,695,0.81,15550,19265
CORP10,West Lothian,2020-21,Q1,0.89,495,555,0.83,14930,18060
CORP10,West Lothian,2020-21,Q2,0.98,610,625,0.86,16970,19665
CORP10,West Lothian,2020-21,Q3,0.95,715,755,0.88,18635,21175
CORP10,West Lothian,2020-21,Q4,0.89,730,815,0.81,22255,27635
CORP10,West Lothian,2021-22,Q1,0.97,640,655,0.92,19165,20870
CORP10,West Lothian,2021-22,Q2,0.76,460,610,0.84,16700,19860
CORP10,West Lothian,2021-22,Q3,0.68,340,495,0.9,20140,22375
CORP10,West Lothian,2021-22,Q4,0.69,685,990,0.77,17455,22710
CORP10,West Lothian,2022-23,Q1,0.57,480,835,0.87,19970,23065
CORP10,West Lothian,2022-23,Q2,0.79,650,830,0.87,19670,22645
CORP10,West Lothian,2022-23,Q3,0.84,705,840,0.89,20790,23425
CORP10,West Lothian,2022-23,Q4,0.66,565,850,0.86,20875,24305
Total,,,,0.920313725,1503040,1642065,0.89875,1503095,1642020
,,,,,,,,,
