DataType,Code,LocalAuthority,Period,Value,Numerator,Denominator
Real,SW08,Eilean Siar,2019-20,1510.374729,4877,3229
Real,SW08,Eilean Siar,2020-21,766.314481,2466,3218
Real,SW08,Eilean Siar,2021-22,1273.665049,4198,3296
Real,SW08,Eilean Siar,2022-23,1228.762136,4050,3296
Real,SW08,Eilean Siar,2023-24,965.7160194,3183,3296
Real,SW08,Falkirk,2016-17,812.5547677,10200,12553
Real,SW08,Falkirk,2017-18,910.1857683,11563,12704
Real,SW08,Falkirk,2018-19,1177.896118,15262,12957
Real,SW08,Falkirk,2019-20,1020.140303,13524,13257
Real,SW08,Falkirk,2020-21,684.2894638,9125,13335
Real,SW08,Falkirk,2021-22,1091.484507,14830,13587
Real,SW08,Falkirk,2022-23,1386.398764,18837,13587
Real,SW08,Falkirk,2023-24,815.7061897,11083,13587
Real,SW08,Fife,2016-17,599.435691,18908,31543
Real,SW08,Fife,2017-18,611.9854156,19638,32089
Real,SW08,Fife,2018-19,628.0148989,20570,32754
Real,SW08,Fife,2019-20,714.7338206,24153,33793
Real,SW08,Fife,2020-21,556.3807652,19253,34604
Real,SW08,Fife,2021-22,888.1729546,31428,35385
Real,SW08,Fife,2022-23,825.377985,29206,35385
Real,SW08,Fife,2023-24,423.7388724,14994,35385
Real,SW08,Glasgow City,2016-17,292.2658874,11401,39009
Real,SW08,Glasgow City,2017-18,324.3110364,12533,38645
Real,SW08,Glasgow City,2018-19,458.0625032,17618,38462
Real,SW08,Glasgow City,2019-20,547.5635044,21125,38580
Real,SW08,Glasgow City,2020-21,643.5917722,24405,37920
Real,SW08,Glasgow City,2021-22,834.8401851,31395,37606
Real,SW08,Glasgow City,2022-23,975.9346913,36701,37606
Real,SW08,Glasgow City,2023-24,624.4216348,23482,37606
Real,SW08,Highland,2016-17,1221.875872,26263,21494
Real,SW08,Highland,2017-18,1300.363967,28582,21980
Real,SW08,Highland,2018-19,1248.407362,28219,22604
Real,SW08,Highland,2019-20,1277.972476,29902,23398
Real,SW08,Highland,2020-21,816.959799,19509,23880
Real,SW08,Highland,2021-22,1019.491594,25106,24626
Real,SW08,Highland,2022-23,1248.599042,30748,24626
Real,SW08,Highland,2023-24,1196.946317,29476,24626
Real,SW08,Inverclyde,2016-17,205.8098109,1502,7298
Real,SW08,Inverclyde,2017-18,172.0828191,1255,7293
Real,SW08,Inverclyde,2018-19,86.68018932,641,7395
Real,SW08,Inverclyde,2019-20,162.2266402,1224,7545
Real,SW08,Inverclyde,2020-21,151.2050626,1123,7427
Real,SW08,Inverclyde,2021-22,291.4073878,2201,7553
Real,SW08,Inverclyde,2022-23,459.6848934,3472,7553
Real,SW08,Inverclyde,2023-24,360.9161922,2726,7553
Real,SW08,Midlothian,2016-17,750,5103,6804
Real,SW08,Midlothian,2017-18,1422.022342,9802,6893
Real,SW08,Midlothian,2018-19,1323.317816,9381,7089
Real,SW08,Midlothian,2019-20,965.6203289,7106,7359
Real,SW08,Midlothian,2020-21,665.4671465,4993,7503
Real,SW08,Midlothian,2021-22,504.005168,3901,7740
Real,SW08,Midlothian,2022-23,784.1085271,6069,7740
Real,SW08,Midlothian,2023-24,372.4806202,2883,7740
